State,City,Date,Year,Month,Domestic_Tourists,International_Tourists,Tourism_Revenue_Cr,Popular_Attraction,Average_Spending_per_Tourist,Number_of_Hotels,Average_Hotel_Price,Events_or_Festivals,Weather_Condition,Mode_of_Transport,Average_Transport_Cost,Local_Transport_Used,Average_Stay_Days,Hotel_Occupancy_Rate(%),Tourist_Satisfaction_Score,Adventure_Activities,Medical_Facilities
Uttar Pradesh,Agra,01-01-2019,2019,January,14497,3053,18906.69,Wildlife Sanctuary,1.08,252,1657.21,Religious Event,Humid,Flight,2151.51,No,7.5,68.65,4.6,Yes,Poor
Uttar Pradesh,Agra,01-02-2019,2019,February,35463,2280,50930.9,Temple,1.35,470,2428.56,Crafts Mela,Humid,Bike,7004.74,Yes,2.6,87.33,3.7,No,Poor
Uttar Pradesh,Agra,01-03-2019,2019,March,29085,4430,52818.26,Fort,1.58,121,6871.24,Dance Festival,Snowy,Bike,6929.19,Yes,8.6,50.34,3.7,Yes,Average
Uttar Pradesh,Agra,01-04-2019,2019,April,47718,1751,46808.92,Hill Station,0.95,392,9323.11,Dance Festival,Snowy,Bus,5510.26,No,13.8,67.93,3.2,Yes,Good
Uttar Pradesh,Agra,01-05-2019,2019,May,49423,2535,61548.02,Museum,1.18,383,9691.1,Food Festival,Rainy,Car,6925.4,No,11.1,53.62,4.2,Yes,Average
Uttar Pradesh,Agra,01-06-2019,2019,June,46692,4609,77864.06,Backwaters,1.52,101,1845.73,Religious Event,Humid,Boat,4761.41,Yes,7.7,60.68,4.5,No,Average
Uttar Pradesh,Agra,01-07-2019,2019,July,48638,2825,60184,Desert Safari,1.17,343,6123.59,Sports Event,Cloudy,Bus,1611.35,Yes,11.9,59.91,4.9,Yes,Good
Uttar Pradesh,Agra,01-08-2019,2019,August,49399,1880,71415,Museum,1.39,50,4861.44,Food Festival,Humid,Bus,969.83,Yes,10.8,92.24,3.7,No,Average
Uttar Pradesh,Agra,01-09-2019,2019,September,11957,4916,20019.94,Museum,1.19,267,2639.39,Art Fair,Snowy,Train,994.1,No,6.3,63.75,3.8,No,Poor
Uttar Pradesh,Agra,01-10-2019,2019,October,14228,4979,30194.28,Desert Safari,1.57,196,8522.97,Sports Event,Humid,Car,4426.54,Yes,14.6,77.51,3.8,Yes,Average
Uttar Pradesh,Agra,01-11-2019,2019,November,14958,1104,18886.9,Fort,1.18,181,2336.24,Festival,Rainy,Bus,2599.08,No,10.7,93.72,3.6,Yes,Average
Uttar Pradesh,Agra,01-12-2019,2019,December,20575,2355,19473.08,Desert Safari,0.85,133,9135.16,Religious Event,Humid,Bike,2424.65,Yes,7.2,54.88,3.7,Yes,Good
Uttar Pradesh,Agra,01-01-2020,2020,January,35474,1219,53154.96,Cultural Festival,1.45,94,6195.69,Crafts Mela,Humid,Car,4999.1,No,13.8,64.41,4.7,Yes,Average
Uttar Pradesh,Agra,01-02-2020,2020,February,7388,1405,13908.62,Backwaters,1.58,170,8580.16,Dance Festival,Cloudy,Flight,4721.07,Yes,2.4,55.04,4.7,No,Average
Uttar Pradesh,Agra,01-03-2020,2020,March,8150,3190,17537.42,Museum,1.55,333,2615.89,Dance Festival,Humid,Flight,2081.03,No,6.2,91.72,4.5,No,Poor
Uttar Pradesh,Agra,01-04-2020,2020,April,32865,2917,30843.3,Temple,0.86,252,8155.38,Music Festival,Rainy,Flight,6782.06,No,2.8,54.92,3.2,Yes,Good
Uttar Pradesh,Agra,01-05-2020,2020,May,26532,1237,34080.45,Beach,1.23,286,2311.27,Dance Festival,Cloudy,Boat,1402.01,Yes,11.8,73.11,3.5,Yes,Average
Uttar Pradesh,Agra,01-06-2020,2020,June,49866,3083,68946.18,Cultural Festival,1.3,373,6107.43,Religious Event,Rainy,Bike,681.34,No,3.2,81.18,4.1,Yes,Poor
Uttar Pradesh,Agra,01-07-2020,2020,July,40285,4196,62012.15,Museum,1.39,373,7698.39,Crafts Mela,Cold,Train,7198.36,No,4.3,80.97,3,Yes,Good
Uttar Pradesh,Agra,01-08-2020,2020,August,25498,1488,40970.53,Desert Safari,1.52,372,2584.91,Art Fair,Sunny,Bike,3635.03,Yes,13.7,84.38,3.4,No,Average
Uttar Pradesh,Agra,01-09-2020,2020,September,26768,2605,41133.63,Temple,1.4,152,4673.63,Art Fair,Humid,Train,2787.64,Yes,7.8,62.46,4,Yes,Poor
